trial_number,trial_type,mean_lt
1,background,3368.8570891312525
2,animacy,3144.8256880733943
2,background,2524.5124444444446
2,identity,2838.229885057471
2,number,2845.2477876106195
2,pose,2534.169491525424
3,background,2436.5454038997214
4,animacy,2901.248062015504
4,background,2344.8651515151514
4,identity,2628.070796460177
4,number,2643.327272727273
4,pose,2127.2580645161293
5,background,2257.702325581395
6,animacy,2878.2051282051284
6,background,2178.696470588235
6,identity,3407.17
6,number,2899.9736842105262
6,pose,2292.7428571428572
